Ticker,Company,Type,Flag
GPRO,GoPro Inc.,EQUITY D PENNIES TO 3.00,0
GPS,GAP INC (THE),EQUITY D PENNIES TO 3.00,0
GRMN,GARMIN LTD,EQUITY D PENNIES TO 3.00,0
GRPN,Groupon,EQUITY D PENNIES TO 3.00,0
GS,GOLDMAN SACHS GROUP INC,EQUITY D PENNIES TO 3.00,0
HAL,HALLIBURTON CO (HOLDING CO),EQUITY D PENNIES TO 3.00,0
HBAN,HUNTINGTON BANCSHARES INC,EQUITY D PENNIES TO 3.00,0
HD,HOME DEPOT INC,EQUITY D PENNIES TO 3.00,0
HES,HESS CORPORATION,EQUITY D PENNIES TO 3.00,0
HIG,HARTFORD FIN SER GP INC,EQUITY D PENNIES TO 3.00,0
HL,HECLA MINING CO,EQUITY D PENNIES TO 3.00,0
HLF,HERBALIFE LTD,EQUITY D PENNIES TO 3.00,0
HOG,HARLEY DAVIDSON INC,EQUITY D PENNIES TO 3.00,0
HON,HONEYWELL INTERNATIONAL INC,EQUITY D PENNIES TO 3.00,0
HOT,STARWOOD HOTELS & RESORTS WORLDWIDE,EQUITY D PENNIES TO 3.00,0
HPQ,HEWLETT-PACKARD CO,EQUITY D PENNIES TO 3.00,0
HSBC,HSBC HOLD PLC ADS (REP 5 ORD),EQUITY D PENNIES TO 3.00,0
HSY,THE HERSHEY COMPANY,EQUITY D PENNIES TO 3.00,0
HYG,iShares iBoxx High Yield Corporate Bond ETF,EQUITY D PENNIES TO 3.00,0
IBM,INTL BUSINESS MACHINES CORP,EQUITY D PENNIES TO 3.00,0
IBN,ICICI BANK LTD ADS(RP 2EQTY SH,EQUITY D PENNIES TO 3.00,0
INTC,INTEL CORP,EQUITY D PENNIES TO 3.00,0
IOC,INTEROIL CORP (F),EQUITY D PENNIES TO 3.00,0
IP,INTERNATIONAL PAPER CO,EQUITY D PENNIES TO 3.00,0
IWM,ISHARES RUSSELL 2000 INDEX,EQUITY D PENNIES ALL,0
